research_order,tier,season,team_id,starting_status,ending_status,candidate_names,intervals,evidence_codes,provisional_gap,statistical_value,disposition,research_notes
19,highly_recoverable,2017,JAX,provisional,partial,Nathaniel Hackett,coach-nathaniel-hackett~Nathaniel Hackett~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
20,highly_recoverable,2017,PIT,provisional,partial,Todd Haley,coach-todd-haley~Todd Haley~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
21,highly_recoverable,2017,NE,provisional,partial,Josh McDaniels,coach-josh-mcdaniels~Josh McDaniels~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
22,highly_recoverable,2017,GB,provisional,partial,Mike McCarthy,coach-mike-mccarthy~Mike McCarthy~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
23,highly_recoverable,2017,HOU,provisional,partial,Bill O'Brien,coach-bill-o-brien~Bill O'Brien~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
24,highly_recoverable,2017,LV,provisional,partial,Todd Downing,coach-todd-downing~Todd Downing~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
25,highly_recoverable,2017,LA,provisional,partial,Sean McVay,coach-sean-mcvay~Sean McVay~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
26,highly_recoverable,2017,NO,provisional,partial,Sean Payton,coach-sean-payton~Sean Payton~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
27,highly_recoverable,2017,SF,provisional,partial,Kyle Shanahan,coach-kyle-shanahan~Kyle Shanahan~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
28,highly_recoverable,2017,NYJ,provisional,partial,John Morton,coach-john-morton~John Morton~1~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
29,possibly_recoverable,2020,HOU,provisional,partial,Tim Kelly + Bill O'Brien,coach-tim-kelly~Tim Kelly~1~3~verified~false;coach-tim-kelly~Tim Kelly~4~4~verified~true;coach-bill-o-brien~Bill O'Brien~4~4~verified~true;coach-tim-kelly~Tim Kelly~5~17~provisional~false,hou20,exact_later_split,repeat_context,accepted_bounded_only,Shared Week 4 remains non-attributable and the later interval remains provisional
30,possibly_recoverable,2017,PHI,provisional,partial,Doug Pederson,coach-doug-pederson~Doug Pederson~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
31,possibly_recoverable,2017,LAC,provisional,partial,Ken Whisenhunt,coach-ken-whisenhunt~Ken Whisenhunt~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
32,possibly_recoverable,2017,TB,provisional,partial,Dirk Koetter,coach-dirk-koetter~Dirk Koetter~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
33,possibly_recoverable,2017,BAL,provisional,partial,Marty Mornhinweg,coach-marty-mornhinweg~Marty Mornhinweg~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
34,possibly_recoverable,2017,MIN,provisional,partial,Pat Shurmur,coach-pat-shurmur~Pat Shurmur~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
35,possibly_recoverable,2017,ARI,provisional,partial,Bruce Arians,coach-bruce-arians~Bruce Arians~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
36,possibly_recoverable,2017,BUF,provisional,partial,Rick Dennison,coach-rick-dennison~Rick Dennison~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
37,possibly_recoverable,2017,MIA,provisional,partial,Adam Gase,coach-adam-gase~Adam Gase~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
38,possibly_recoverable,2017,ATL,provisional,partial,Steve Sarkisian,coach-steve-sarkisian~Steve Sarkisian~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
39,possibly_recoverable,2017,DAL,provisional,partial,Scott Linehan,coach-scott-linehan~Scott Linehan~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
40,possibly_recoverable,2017,CLE,provisional,partial,Hue Jackson,coach-hue-jackson~Hue Jackson~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
41,possibly_recoverable,2017,WAS,provisional,partial,Jay Gruden,coach-jay-gruden~Jay Gruden~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
42,possibly_recoverable,2017,SEA,provisional,partial,Darrell Bevell,coach-darrell-bevell~Darrell Bevell~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
43,possibly_recoverable,2017,TEN,provisional,partial,Terry Robiskie,coach-terry-robiskie~Terry Robiskie~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
44,possibly_recoverable,2017,DET,provisional,partial,Jim Bob Cooter,coach-jim-bob-cooter~Jim Bob Cooter~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
45,possibly_recoverable,2017,CHI,provisional,partial,Dowell Loggains,coach-dowell-loggains~Dowell Loggains~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
46,possibly_recoverable,2017,IND,provisional,partial,Rob Chudzinski,coach-rob-chudzinski~Rob Chudzinski~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
47,possibly_recoverable,2017,CAR,provisional,partial,Mike Shula,coach-mike-shula~Mike Shula~1~10~verified~false,espn17,weeks_11_17,repeat_context,accepted_bounded_only,Game-specific era evidence is bounded through Week 10
48,possibly_recoverable,2020,CLE,provisional,verified,Kevin Stefanski,coach-kevin-stefanski~Kevin Stefanski~1~17~verified~false,cle_multi,none,prior_history_for_future,accepted,A strong official retrospective explicitly spans Stefanski's tenure from 2020
49,possibly_recoverable,2020,PHI,provisional,provisional,Doug Pederson,,phi20,opening_and_shared_boundaries,prior_history_for_future,rejected_full_verification,December first-person evidence says duties had recently been shared and the final-game article does not establish caller continuity
50,possibly_recoverable,2020,WAS,provisional,partial,Scott Turner,coach-scott-turner~Scott Turner~1~12~verified~false;coach-scott-turner~Scott Turner~13~17~provisional~false,was20,weeks_13_17,prior_history_for_future,accepted_bounded_only,Designation and Week 12 material do not establish the final five weeks
51,possibly_recoverable,2021,PIT,provisional,provisional,Matt Canada + Ben Roethlisberger,,pit21,shared_or_qb_autonomy,future_qp,rejected_full_verification,Official discussion cannot resolve caller responsibility under tempo and no-huddle
52,possibly_recoverable,2021,TEN,provisional,verified,Todd Downing,coach-todd-downing~Todd Downing~1~18~verified~false,ten21,none,future_qp,accepted,Official preseason designation and in-season confirmation establish the continuing role
53,possibly_recoverable,2022,ARI,provisional,verified,Kliff Kingsbury,coach-kliff-kingsbury~Kliff Kingsbury~1~18~verified~false,ari22,none,future_qp,accepted,Official late-season identification plus documented retention of duties supports the full interval
54,possibly_recoverable,2022,CLE,provisional,verified,Kevin Stefanski,coach-kevin-stefanski~Kevin Stefanski~1~18~verified~false,cle_multi,none,future_qp,accepted,A strong official retrospective explicitly spans Stefanski's tenure from 2020
55,possibly_recoverable,2022,PIT,provisional,verified,Matt Canada,coach-matt-canada~Matt Canada~1~18~verified~false,pit22,none,future_qp,accepted,The NFL retrospective explicitly covers the entirety of Canada's caller run
56,known_shared_ambiguous,2020,NYJ,partial,partial,Adam Gase + Dowell Loggains,,,shared_or_unclear_split,review_only,retained_prior,Existing bounded intervals are preserved and the remaining split is not resolved
57,known_shared_ambiguous,2021,MIA,provisional,provisional,Eric Studesville + George Godsey + Charlie Frye,,,shared_three_coach_structure,review_only,retained_prior,Existing evidence already establishes unresolved shared responsibility
58,known_shared_ambiguous,2015,IND,partial,partial,Pep Hamilton + Rob Chudzinski,,,remaining_opening_interval,review_only,retained_prior,Existing verified bounded interval is preserved without inferring the opening split
59,known_shared_ambiguous,2021,ARI,partial,partial,Kliff Kingsbury + Sean Kugler + Spencer Whipple,,,shared_week_9,review_only,retained_prior,The shared interval remains non-attributable
60,known_shared_ambiguous,2022,JAX,partial,partial,Doug Pederson + Press Taylor,,,shared_duties,review_only,retained_prior,The source-backed shared arrangement remains non-attributable
61,archival_expensive,2012,NE,unresolved,provisional,Josh McDaniels,,ne12,late_season_continuity,high_pcae_volume,rejected_full_verification,Archived game and midseason evidence does not prove every week
62,archival_expensive,2012,DET,unresolved,unresolved,,, ,caller_identity,high_pcae_volume,no_accessible_evidence,Targeted official and NFL archive search did not recover explicit in-game caller evidence
63,archival_expensive,2013,DEN,unresolved,verified,Adam Gase,coach-adam-gase~Adam Gase~1~17~verified~false,den13,none,high_pcae_volume,accepted,Official preseason designation and explicit December confirmation support continuity
64,archival_expensive,2013,NE,unresolved,unresolved,,,,caller_identity,high_pcae_volume,no_accessible_evidence,Targeted official and NFL archive search did not recover full-season caller evidence
65,archival_expensive,2018,BAL,unresolved,provisional,Marty Mornhinweg,,bal18,opening_and_late_continuity,high_pcae_volume,rejected_full_verification,An official single-game description cannot establish the full season
66,archival_expensive,2014,PHI,unresolved,provisional,Chip Kelly,,phi14,opening_boundary,high_pcae_volume,rejected_full_verification,Midseason and late-season evidence leaves the opening weeks unsupported
67,archival_expensive,2015,HOU,unresolved,provisional,George Godsey + Bill O'Brien,,hou15,exclusive_responsibility,high_pcae_volume,rejected_full_verification,The designation preserves O'Brien approval and later evidence does not resolve involvement
68,archival_expensive,2013,WAS,unresolved,provisional,Kyle Shanahan,,was13,late_season_continuity,high_pcae_volume,rejected_full_verification,Preseason and midseason statements do not prove the final weeks
69,archival_expensive,2013,BUF,unresolved,verified,Nathaniel Hackett,coach-nathaniel-hackett~Nathaniel Hackett~1~17~verified~false,buf13,none,high_pcae_volume,accepted,Official contemporaneous text says all season and the team retrospective confirms the 2013 role
70,archival_expensive,2019,PHI,unresolved,unresolved,,,,caller_identity,high_pcae_volume,no_accessible_evidence,Targeted official archive search did not recover a full-season explicit caller record
71,archival_expensive,2015,LAC,unresolved,unresolved,,,,caller_identity,high_pcae_volume,no_accessible_evidence,Targeted team and NFL archive search did not distinguish Reich from McCoy for the full season
72,archival_expensive,2015,PHI,unresolved,unresolved,,,,transition_boundary,high_pcae_volume,no_accessible_evidence,Targeted archive search did not establish the Kelly to Shurmur weekly split
73,archival_expensive,2013,DET,unresolved,unresolved,,,,caller_identity,high_pcae_volume,no_accessible_evidence,Targeted official and NFL archive search did not recover explicit full-season caller evidence
74,archival_expensive,2016,NO,unresolved,partial,Pete Carmichael Jr,coach-pete-carmichael-jr~Pete Carmichael Jr~1~10~verified~false,no16,weeks_11_17,high_pcae_volume,accepted_bounded_only,A strong retrospective proves only the first ten games
75,archival_expensive,2013,HOU,unresolved,partial,Rick Dennison,coach-rick-dennison~Rick Dennison~10~10~verified~false,hou13,other_weekly_boundaries,high_pcae_volume,accepted_bounded_only,The official source proves the Week 10 replacement but other transition weeks remain ambiguous
